"Year","Measure","value"
1997,"Q060-avg",11.5974999983667
1997,"Q090-avg",20.4738889008
1998,"Q001-avg",3.960000038
1998,"Q003-avg",3.99666674933333
1998,"Q007-avg",4.01857147914286
1998,"Q015-avg",4.09466668773333
1998,"Q030-avg",4.1366666715
1998,"Q060-avg",4.26116667195
1998,"Q090-avg",4.39277779001111
1999,"Q001-avg",6.010000229
1999,"Q003-avg",6.12000004433333
1999,"Q007-avg",6.23571429928571
1999,"Q015-avg",6.32733335493333
1999,"Q030-avg",6.41200002026667
1999,"Q060-avg",7.15116667748333
1999,"Q090-avg",9.39811112084444
2000,"Q001-avg",5.230000019
2000,"Q003-avg",5.30000003166667
2000,"Q007-avg",5.39142860671429
2000,"Q015-avg",5.44800001766667
2000,"Q030-avg",5.52466669073333
2000,"Q060-avg",5.81583335396667
2000,"Q090-avg",6.88655557102222
2001,"Q001-avg",4.210000038
2001,"Q003-avg",4.22666660933333
2001,"Q007-avg",4.26428570071429
2001,"Q015-avg",4.4133333206
2001,"Q030-avg",4.70466664626667
2001,"Q060-avg",5.32149997548333
2001,"Q090-avg",6.59533329543333
2002,"Q001-avg",4.980000019
2002,"Q003-avg",5.106666724
2002,"Q007-avg",5.31714289542857
2002,"Q015-avg",5.59133332566667
2002,"Q030-avg",5.75833333333333
2002,"Q060-avg",5.85283334253333
2002,"Q090-avg",6.16811111765556
2003,"Q001-avg",2.68
2003,"Q003-avg",2.75
2003,"Q007-avg",2.77
2003,"Q015-avg",2.8973333288
2003,"Q030-avg",2.97533331616667
2003,"Q060-avg",3.71783332826667
2003,"Q090-avg",4.51733333267778
2004,"Q001-avg",2.769999981
2004,"Q003-avg",2.823333343
2004,"Q007-avg",2.88857146685714
2004,"Q015-avg",2.95266668
2004,"Q030-avg",2.9886666934
2004,"Q060-avg",3.06350000308333
2004,"Q090-avg",3.34477779073333
2005,"Q001-avg",4.960000038
2005,"Q003-avg",5.02000014
2005,"Q007-avg",5.13142858228571
2005,"Q015-avg",5.23533331553333
2005,"Q030-avg",5.27033333783333
2005,"Q060-avg",5.40416665871667
2005,"Q090-avg",6.26566666492222
2006,"Q001-avg",2.579999924
2006,"Q003-avg",2.616666635
2006,"Q007-avg",2.66000001771429
2006,"Q015-avg",2.8033333302
2006,"Q030-avg",2.9596666654
2006,"Q060-avg",3.15683332685
2006,"Q090-avg",3.65777778102222
2007,"Q001-avg",5.639999866
2007,"Q003-avg",5.679999987
