"","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012"
"JFM_YIELDMM_DAILY_SW",684.82983114863,887.399120431961,1058.69288127434,1390.01491637242,537.238546855671,595.804356752077,930.776950910877,965.640289839341,896.541211690344,1311.56455317734,645.165325836785,915.390217836087,613.492300879148,545.481065540571,632.215788058809,929.427602507041,796.919712116688,833.791380624349,1312.49549445071,901.39467112771,299.680387208368,1142.88581161708,1082.18615267227,620.992155283758,644.046099780726,797.087069341365,851.332881519109,1084.80116417945,457.125036800775,949.322615093695,1259.97559465755,925.107602192194,1192.70702059514,1073.80765085683,1280.88523002317,569.821597509617,453.44309937507,924.385858283855,1206.19002397249,737.506634668126,731.460725956068,1181.92271242088,1265.7913798252,673.009977622663,513.285035164823,1047.91903020087,1055.36658396064,979.447554159342
"AMJ_YIELDMM_DAILY_SW",281.503960557943,380.843042345991,312.952095712678,275.164124302059,654.073106046834,269.514654662946,544.748864041918,440.619078966973,192.685598421838,619.998449082886,372.084843298053,521.015010309501,258.422818619611,201.272252147146,203.769065418712,278.42766023642,376.210289742032,289.513220859893,198.921880229579,461.024542424659,308.57142647513,357.374876032887,274.667273001065,469.769144045718,338.940086557772,291.183689073809,202.538963723901,129.955641457685,382.147409864136,242.701364817972,195.397888214737,363.770149275893,628.847648097472,137.407379781687,532.646587232542,359.783824908552,307.76600625786,347.886564858793,377.635990710055,163.831555002107,474.189560833825,289.82388237894,376.02200450873,354.375982286412,324.003138083773,502.171235454264,508.543497913825,475.984504032581
"JAS_YIELDMM_DAILY_SW",58.9465568958102,90.3748181042441,53.8786638538344,112.972706519605,92.1666236596998,55.8671184338208,126.866789234011,114.935012526404,60.2049008934392,127.601084932579,118.860668917261,116.33247416153,63.573036318462,115.026014686106,94.0368813303051,78.116687397048,93.8935784786906,70.854276089724,136.427274156064,80.5308667644901,49.1569975337143,62.6253557622276,56.1934720326857,56.7258888624233,55.1265471137201,61.1253849256562,148.757579152527,54.0533460464542,61.6389733876881,56.539699879415,54.0156904819409,49.1810556718722,206.078644979076,42.5410170043816,116.635815725509,68.6691721379332,67.0583241222625,61.4653366491893,46.5378012639806,43.4426731913724,63.5071381497763,37.5588959271864,74.1920776772339,94.2429445605501,57.972726294555,52.4111187375806,78.2913704623496,77.4566586953259
"OND_YIELDMM_DAILY_SW",796.86845314152,944.559109490208,930.510216564041,883.528910487981,530.282612852107,485.627623823802,521.234675161104,543.537588995599,886.871941797827,592.786635165083,1406.31167084339,276.136911317462,885.495397817027,293.236997140416,729.452396776446,959.741869293222,1035.64939247547,705.769801700792,692.414412286908,782.145933557579,402.23697895759,455.020473497003,395.173308336267,617.816483966946,495.610694954568,1130.4917012069,551.139954467099,367.809820363316,376.865085054543,571.549597402716,1214.47438240738,599.244667516451,993.192058348823,935.908648815644,811.121318615419,403.26834104389,774.237094572203,548.67242593318,890.696136492889,721.680581972572,583.172804002332,1191.10872656986,1011.92600631957,432.251041120387,1134.45187456135,854.869422636262,571.139562249414,707.267680200697
"JAN_MIN_DAILY_SW",28.89999962,57.20000076,106,67.69999695,30,39.09999847,44.70000076,35.09999847,92.90000153,49.59999847,63.40000153,90.30000305,40.20000076,52.70000076,15.60000038,59.09999847,68.5,42.79999924,89.59999847,43,26.20000076,24.70000076,94.30000305,29.39999962,65,39.40000153,45.59999847,81.30000305,18.39999962,60.40000153,89.40000153,67.69999695,98.5,60.70000076,103,46.90000153,53.5,79.19999695,96,53.5,33.5,139,95.09999847,53.5,32.79999924,99.59999847,91.69999695,76.80000305
"FEB_MIN_DAILY_SW",96.30000305,54.40000153,58.59999847,90,28.29999924,48.09999847,83.5,51.29999924,38.20000076,87.80000305,40.5,66.5,34.5,42.79999924,14.69999981,61.90000153,40.09999847,68.40000153,68.09999847,60.79999924,21.89999962,60,67.80000305,49.79999924,35.5,63.09999847,76,86.19999695,27.10000038,38.90000153,82.40000153,54.29999924,54.90000153,95.19999695,113,46.40000153,30.5,57.79999924,51.5,54.29999924,37,51.40000153,69.40000153,42.79999924,27.29999924,64.69999695,65.09999847,73.69999695
"MAR_MIN_DAILY_SW",31.70000076,46.70000076,49.59999847,74.80000305,36.5,39.90000153,61.40000153,91.69999695,38.79999924,62.90000153,49,47.59999847,52.40000153,24,46.70000076,52.90000153,26.5,39.40000153,64.30000305,66.90000153,23,70.69999695,54.20000076,44.20000076,43.5,57.40000153,29,25.10000038,26.5,76.80000305,79.30000305,41.20000076,59.79999924,44,79.69999695,44.29999924,15.80000019,53.09999847,42.59999847,28.60000038,19,43.20000076,67.59999847,46.79999924,28.5,53.29999924,58.09999847,64.09999847
"APR_MIN_DAILY_SW",28.89999962,43,34.5,36.79999924,81.30000305,24.70000076,52.40000153,51.29999924,8.670000076,60.29999924,39.59999847,56.40000153,41.90000153,24.70000076,25.70000076,45.40000153,31.89999962,23.89999962,14.80000019,49.29999924,40,32.20000076,31.89999962,42.20000076,51,35.79999924,24.70000076,13.30000019,35,30,20.5,32.09999847,60.20000076,20.29999924,34.09999847,35.90000153,25.5,33.5,39.09999847,22.89999962,44.79999924,30.70000076,55,28.10000038,38.59999847,70,50.90000153,68.90000153
"MAY_MIN_DAILY_SW",8.069999695,7.360000134,28.10000038,10.10000038,58,12.5,51.79999924,20.39999962,8.779999733,30.89999962,31.70000076,48.09999847,9.829999924,12.89999962,12.69999981,11.10000038,14,28.5,6.46999979,34.79999924,22,23,9.31000042,35,6.989999771,8.399999619,9.949999809,6.570000172,17.5,7.559999943,6.480000019,21.10000038,30.60000038,7.139999866,33.29999924,27.39999962,24.5,23.29999924,14.10000038,9.020000458,15.60000038,20.79999924,25,19.5,16.60000038,17.60000038,29.89999962,22.20000076
"JUN_MIN_DAILY_SW",6.510000229,6.769999981,6.230000019,8.069999695,6.510000229,5.46999979,13.39999962,10,11,16.5,7.25,13.89999962,5.78000021,6.460000038,3.900000095,4.889999866,8.159999847,12.60000038,6.070000172,7.449999809,6.269999981,6.679999828,12.10000038,5.659999847,6,7.420000076,5.909999847,6.050000191,11.69999981,6.320000172,4.670000076,6.440000057,16,4.539999962,32.29999924,15,13.89999962,9.960000038,6.320000172,2.99000001,8.170000076,5.75,6.53000021,15,7.03000021,7.820000172,6.380000114,15.10000038
"JUL_MIN_DAILY_SW",4.809999943,6.090000153,5.800000191,6.400000095,6.090000153,4.25,9.460000038,6.679999828,5.659999847,11.60000038,6.429999828,8.68999958,5.349999905,4.639999866,3.839999914,6.96999979,8.279999733,5.409999847,13.39999962,4.119999886,3.700000048,6.25,5.269999981,4.960000038,5.539999962,5.349999905,4.619999886,4.630000114,5.860000134,5.340000153,4.789999962,5.050000191,14.5,4.139999866,10.60000038,5.739999771,4.429999828,5.480000019,5.800000191,2.849999905,5.800000191,3.109999895,5.639999866,5.590000153,5.920000076,5.139999866,6.260000229,6.440000057
"AUG_MIN_DAILY_SW",4.5,5.800000191,4.110000134,5.099999905,4.980000019,4.699999809,6,6.119999886,4.389999866,6.630000114,6.909999847,4.619999886,4.159999847,4.730000019,4.349999905,4.420000076,4.889999866,5.320000172,5.710000038,4.849999905,3.359999895,3.660000086,3.599999905,4.139999866,5.050000191,4.889999866,4.610000134,3.74000001,5.039999962,4.800000191,5.239999771,4.630000114,7.449999809,4.059999943,7.090000153,5.300000191,4.210000038,5.440000057,3.49000001,2.769999981,4.960000038,3.269999981,5.650000095,5.300000191,5.480000019,4.389999866,6.090000153,5.53000021
