"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Jul",0.019,0.019,0,0.019,0,"P90"
"Jun",0.037,0.037,0,0.037,0,"P90"
"Mar",0.165,0.165,2.77555756156289e-17,0.165,1.6821560979169e-16,"P90"
"May",0.056,0.056,0,0.056,0,"P90"
"Nov",0.145,0.145,0,0.145,0,"P90"
"Oct",0.026,0.026,0,0.026,0,"P90"
"Sep",0.015,0.015,0,0.015,0,"P90"
"Apr",0.089,0.089,0,0.089,0,"P95"
"Aug",0.008,0.008,0,0.008,0,"P95"
"Dec",0.103,0.103,0,0.103,0,"P95"
"Feb",0.1,0.1,0,0.1,0,"P95"
"Jan",0.115,0.115,0,0.115,0,"P95"
"Jul",0.014,0.014,0,0.014,0,"P95"
"Jun",0.029,0.029,0,0.029,0,"P95"
"Mar",0.1305,0.1305,-5.55111512312578e-17,0.1305,4.25372806369792e-16,"P95"
"May",0.0380000000000001,0.0380000000000001,-6.93889390390723e-18,0.0380000000000001,1.82602471155453e-16,"P95"
"Nov",0.092,0.092,0,0.092,0,"P95"
"Oct",0.015,0.015,0,0.015,0,"P95"
"Sep",0.011,0.011,0,0.011,0,"P95"
"Apr",0.0564500000000001,0.0564500000000001,4.16333634234434e-17,0.0564500000000001,7.37526367111485e-16,"P99"
"Aug",0.004,0.004,0,0.004,0,"P99"
"Dec",0.0446000000000001,0.0446000000000001,6.93889390390723e-18,0.0446000000000001,1.55580580805094e-16,"P99"
"Feb",0.06971,0.06971,-4.16333634234434e-17,0.06971,5.9723660053713e-16,"P99"
"Jan",0.086,0.086,0,0.086,0,"P99"
"Jul",0.009,0.009,0,0.009,0,"P99"
"Jun",0.02,0.02,0,0.02,0,"P99"
"Mar",0.102,0.102,0,0.102,0,"P99"
"May",0.025,0.025,0,0.025,0,"P99"
"Nov",0.03929,0.03929,-1.38777878078145e-17,0.03929,3.53214248099121e-16,"P99"
"Oct",0.00670000000000001,0.00670000000000001,-1.73472347597681e-18,0.00670000000000001,2.58913951638329e-16,"P99"
"Sep",0.007,0.007,0,0.007,0,"P99"
