"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Feb",89.149999615,89.1499996185303,-3.53028895005991e-09,89.1499996167651,3.95994275405024e-11,"P45"
"Jan",106,106,0,106,0,"P45"
"Jul",7.10700013685,7.10700013637542,4.74575934106269e-10,7.10700013661271,6.67758442358014e-11,"P45"
"Jun",15.19999981,15.1999998092651,7.34900140741956e-10,15.1999998096325,4.8348694075393e-11,"P45"
"Mar",71.385001758,71.3850017547607,3.23926485634729e-09,71.3850017563804,4.5377387079181e-11,"P45"
"May",33.40000153,33.4000015258789,4.12109812941708e-09,33.4000015279395,1.23386165894925e-10,"P45"
"Nov",79.59999847,79.5999984741211,-4.12109102398972e-09,79.5999984720605,5.17725012951629e-11,"P45"
"Oct",15.984999943,15.9849999427795,2.20452989196929e-10,15.9849999428898,1.37912411626243e-11,"P45"
"Sep",6.269999981,6.26999998092651,7.34896588028278e-11,6.26999998096325,1.17208387601203e-11,"P45"
"Apr",52.40000153,52.4000015258789,4.12109812941708e-09,52.4000015279395,7.86469085734611e-11,"P50"
"Aug",5.550000191,5.55000019073486,2.65139910027301e-10,5.55000019086743,4.77729551187387e-11,"P50"
"Dec",104,104,0,104,0,"P50"
"Feb",82.90000153,82.9000015258789,4.12109102398972e-09,82.9000015279395,4.97115916529966e-11,"P50"
"Jan",98.650001525,98.6500015258789,-8.78912942425814e-10,98.6500015254394,8.90940627303653e-12,"P50"
"Jul",6.7550001145,6.75500011444092,5.90798521216129e-11,6.75500011447046,8.74609194973261e-12,"P50"
"Jun",13.60000038,13.6000003814697,-1.46969902914407e-09,13.6000003807349,1.08066102058789e-10,"P50"
"Mar",68.85000229,68.8500022888184,1.18164678042376e-09,68.8500022894092,1.7162625143522e-11,"P50"
"May",31,31,0,31,0,"P50"
"Nov",71.09999847,71.0999984741211,-4.12109102398972e-09,71.0999984720605,5.7961900317187e-11,"P50"
"Oct",14.19999981,14.1999998092651,7.34900140741956e-10,14.1999998096325,5.1753531731982e-11,"P50"
"Sep",6.055000067,6.0550000667572,2.42799558236584e-10,6.0550000668786,4.0099018258434e-11,"P50"
"Apr",48.6549997295,48.6549997329712,-3.47122153243618e-09,48.6549997312356,7.13435731499494e-11,"P55"
"Aug",5.460000038,5.46000003814697,-1.46969547643039e-10,5.46000003807348,2.69174993806219e-11,"P55"
"Dec",94.90000153,94.9000015258789,4.12109102398972e-09,94.9000015279395,4.34256159919706e-11,"P55"
"Feb",77.275001525,77.2750015258789,-8.78898731571098e-10,77.2750015254394,1.13736488414272e-11,"P55"
"Jan",92.214997865,92.2149978637695,1.23046106637048e-09,92.2149978643848,1.33433941860526e-11,"P55"
"Jul",6.4929998397,6.49299983978271,-8.27107271561545e-11,6.49299983974136,1.27384458952103e-11,"P55"
"Jun",12,12,0,12,0,"P55"
"Mar",65.114998242,65.1149982452393,-3.23926485634729e-09,65.1149982436196,4.97468316627758e-11,"P55"
"May",29,29,0,29,0,"P55"
"Nov",64.80000305,64.8000030517578,-1.7577974631422e-09,64.8000030508789,2.71265027836809e-11,"P55"
"Oct",12.80000019,12.8000001907349,-7.34900140741956e-10,12.8000001903675,5.7414072641577e-11,"P55"
"Sep",5.860000134,5.8600001335144,4.85600004651587e-10,5.8600001337572,8.28668931002634e-11,"P55"
"Apr",45.659999844,45.6599998474121,-3.41214700938508e-09,45.6599998457061,7.47294573130833e-11,"P60"
"Aug",5.3679999356,5.36799993515015,4.49855264150756e-10,5.36799993537507,8.38031426167153e-11,"P60"
"Dec",88.09999847,88.0999984741211,-4.12109102398972e-09,88.0999984720605,4.6777424466093e-11,"P60"
"Feb",73.09999847,73.0999984741211,-4.12109102398972e-09,73.0999984720605,5.6376075377961e-11,"P60"
"Jan",84.93999939,84.9399993896485,3.51533913089952e-10,84.9399993898242,4.13861449982616e-12,"P60"
"Jul",6.25,6.25,0,6.25,0,"P60"
"Jun",10.69999981,10.6999998092651,7.34900140741956e-10,10.6999998096325,6.86822573660582e-11,"P60"
"Mar",62.59999847,62.5999984741211,-4.12109812941708e-09,62.5999984720605,6.58322400959226e-11,"P60"
"May",26.39999962,26.3999996185303,1.46970080550091e-09,26.3999996192651,5.56704858597197e-11,"P60"
"Nov",57.20000076,57.2000007629395,-2.93950108698482e-09,57.2000007614698,5.13898784589682e-11,"P60"
"Oct",11.580000304,11.5800003051758,-1.17576703928535e-09,11.5800003045879,1.01534283968846e-10,"P60"
"Sep",5.659999847,5.65999984741211,-4.1211034584876e-10,5.65999984720606,7.28110171331877e-11,"P60"
"Apr",43.59999847,43.5999984741211,-4.12109812941708e-09,43.5999984720605,9.45206026109825e-11,"P65"
"Aug",5.25450010305,5.25450010299683,5.31725774521874e-11,5.25450010302341,1.01194359900368e-11,"P65"
"Dec",81.30000305,81.3000030517578,-1.7577974631422e-09,81.3000030508789,2.16211241965408e-11,"P65"
"Feb",68.5249996175,68.5249996185303,-1.03027275599743e-09,68.5249996180151,1.50349910505738e-11,"P65"
"Jan",78.19999695,78.1999969482422,1.7577974631422e-09,78.1999969491211,2.24782293058894e-11,"P65"
"Jul",6.07900016345,6.07900016307831,3.71692010503466e-10,6.07900016326415,6.11436092319306e-11,"P65"
"Jun",9.0965003012,9.09650030136109,-1.61085367267333e-10,9.09650030128054,1.77084990855941e-11,"P65"
"Mar",58.9450008415,58.9450008392334,2.26661001079265e-09,58.9450008403667,3.8452964262924e-11,"P65"
"May",23.70000076,23.7000007629395,-2.93949753427114e-09,23.7000007614698,1.2402942784078e-10,"P65"
"Nov",51.895000266,51.8950002670288,-1.02882324881648e-09,51.8950002665144,1.98250938150652e-11,"P65"
"Oct",10.19999981,10.1999998092651,7.34900140741956e-10,10.1999998096325,7.20490347507596e-11,"P65"
"Sep",5.5,5.5,0,5.5,0,"P65"
"Apr",41.29999924,41.2999992370605,2.93950108698482e-09,41.2999992385302,7.11743617719599e-11,"P70"
"Aug",5.139999866,5.1399998664856,-4.85600004651587e-10,5.1399998662428,9.4474711534681e-11,"P70"
"Dec",73.70999756,73.7099975585938,1.40623512834281e-09,73.7099975592969,1.90779429508399e-11,"P70"
"Feb",64.099998475,64.0999984741211,8.78898731571098e-10,64.0999984745606,1.37113689935563e-11,"P70"
"Jan",70.810002898,70.8100028991699,-1.16992282528372e-09,70.810002898585,1.65219993982955e-11,"P70"
"Jul",5.849999905,5.84999990463257,3.67429642267325e-10,5.84999990481628,6.28084868796018e-11,"P70"
"Jun",8.159999847,8.15999984741211,-4.1210945767034e-10,8.15999984720606,5.05036109542875e-11,"P70"
"Mar",55.40000153,55.4000015258789,4.12109812941708e-09,55.4000015279395,7.43880508259321e-11,"P70"
