"Year","Measure","value","prob","dist.prob"
1977,"Q007-avg",7.23571428571429,0.855263157894737,0.658989424077629
1983,"Q007-avg",7.27142857142857,0.868421052631579,0.707123183299989
1984,"Q007-avg",7.29428571428571,0.881578947368421,0.757767930949464
2007,"Q007-avg",7.32714285714286,0.894736842105263,0.811504184179196
1969,"Q007-avg",7.42571428571429,0.907894736842105,0.869124987936512
1982,"Q007-avg",7.44142857142857,0.921052631578947,0.931760011633068
1997,"Q007-avg",7.46714285714286,0.934210526315789,1.00110802717178
1976,"Q007-avg",7.58857142857143,0.947368421052632,1.07991829952208
1968,"Q007-avg",7.60571428571429,0.960526315789474,1.17313859404726
1999,"Q007-avg",7.92428571428571,0.973684210526316,1.29132031873981
1971,"Q007-avg",8.04285714285714,0.986842105263158,1.4657368903269
1944,"Q015-avg",0.5636,0.0131578947368421,-4.32411803673528
1951,"Q015-avg",1.33966666666667,0.0263157894736842,-3.62428166915145
1942,"Q015-avg",1.73066666666667,0.0394736842105263,-3.21205168392545
1943,"Q015-avg",1.94866666666667,0.0526315789473684,-2.91752716824826
1947,"Q015-avg",2.07733333333333,0.0657894736842105,-2.68746165852696
1958,"Q015-avg",2.19,0.0789473684210526,-2.4981366020931
1950,"Q015-avg",2.222,0.0921052631578947,-2.33689877417924
1956,"Q015-avg",2.29133333333333,0.105263157894737,-2.19619439216721
1953,"Q015-avg",2.46266666666667,0.118421052631579,-2.07115024253337
1952,"Q015-avg",2.788,0.131578947368421,-1.95843810944543
1945,"Q015-avg",2.974,0.144736842105263,-1.85568332880831
1941,"Q015-avg",3.19,0.157894736842105,-1.76113178062393
1946,"Q015-avg",3.34066666666667,0.171052631578947,-1.67345063105779
2006,"Q015-avg",3.84,0.184210526315789,-1.59160312574703
2003,"Q015-avg",4.08866666666667,0.197368421052632,-1.51476668165505
1961,"Q015-avg",4.48933333333333,0.210526315789474,-1.4422774646944
1949,"Q015-avg",4.51866666666667,0.223684210526316,-1.37359179587105
2015,"Q015-avg",4.51866666666667,0.236842105263158,-1.30825860236668
2014,"Q015-avg",4.59066666666667,0.25,-1.24589932370724
2004,"Q015-avg",4.66733333333333,0.263157894736842,-1.18619297460674
1955,"Q015-avg",4.674,0.276315789473684,-1.12886485239008
1985,"Q015-avg",4.686,0.289473684210526,-1.07367787003111
1948,"Q015-avg",5.18066666666667,0.302631578947368,-1.02042581331049
1986,"Q015-avg",5.23933333333333,0.315789473684211,-0.968928029806553
1992,"Q015-avg",5.26933333333333,0.328947368421053,-0.919025198216819
1987,"Q015-avg",5.468,0.342105263157895,-0.870575923056064
1963,"Q015-avg",5.61266666666667,0.355263157894737,-0.823453967132036
1979,"Q015-avg",5.672,0.368421052631579,-0.777545981928109
1974,"Q015-avg",5.77333333333333,0.381578947368421,-0.732749630326731
2009,"Q015-avg",5.86733333333333,0.394736842105263,-0.688972021086659
2012,"Q015-avg",5.93333333333333,0.407894736842105,-0.646128392892847
1970,"Q015-avg",5.95266666666667,0.421052631578947,-0.60414099950744
2010,"Q015-avg",6.03,0.434210526315789,-0.562938157861984
1965,"Q015-avg",6.036,0.447368421052632,-0.522453428754192
1960,"Q015-avg",6.04866666666667,0.460526315789474,-0.482624905792189
1989,"Q015-avg",6.11133333333333,0.473684210526316,-0.443394592826866
1998,"Q015-avg",6.112,0.486842105263158,-0.404707853662671
1967,"Q015-avg",6.196,0.5,-0.366512920581664
1980,"Q015-avg",6.20533333333333,0.513157894736842,-0.328760450332515
2001,"Q015-avg",6.22866666666667,0.526315789473684,-0.291403117855206
1981,"Q015-avg",6.36133333333333,0.539473684210526,-0.254395239227418
1995,"Q015-avg",6.57266666666667,0.552631578947368,-0.217692416196994
1994,"Q015-avg",6.58533333333333,0.565789473684211,-0.181251195251485
1957,"Q015-avg",6.606,0.578947368421053,-0.145028734497877
1988,"Q015-avg",6.61866666666667,0.592105263157895,-0.108982471693961
2008,"Q015-avg",6.672,0.605263157894737,-0.0730697865827188
2013,"Q015-avg",6.74666666666667,0.618421052631579,-0.0372476502109304
1978,"Q015-avg",6.758,0.631578947368421,-0.00147225312183743
1993,"Q015-avg",6.79133333333333,0.644736842105263,0.0343013968662063
1991,"Q015-avg",6.81133333333333,0.657894736842105,0.0701199182449438
1954,"Q015-avg",6.85266666666667,0.671052631578947,0.106032054001788
1959,"Q015-avg",6.87333333333333,0.684210526315789,0.142089240756235
2005,"Q015-avg",6.88533333333333,0.697368421052632,0.178346269429913
1996,"Q015-avg",6.93266666666667,0.710526315789474,0.214862063804869
1973,"Q015-avg",6.99533333333333,0.723684210526316,0.251700611251591
1962,"Q015-avg",6.996,0.736842105263158,0.288932090902336
2011,"Q015-avg",7.03933333333333,0.75,0.326634259978281
2000,"Q015-avg",7.06733333333333,0.763157894736842,0.364894180949921
1990,"Q015-avg",7.10933333333333,0.776315789473684,0.403810403993518
1966,"Q015-avg",7.15666666666667,0.789473684210526,0.443495766020465
1972,"Q015-avg",7.21066666666667,0.802631578947368,0.484081037915991
1975,"Q015-avg",7.222,0.815789473684211,0.525719759793889
2002,"Q015-avg",7.29066666666667,0.828947368421053,0.568594774668803
1984,"Q015-avg",7.304,0.842105263157895,0.612927247869579
1977,"Q015-avg",7.318,0.855263157894737,0.658989424077629
2007,"Q015-avg",7.368,0.868421052631579,0.707123183299989
1983,"Q015-avg",7.37266666666667,0.881578947368421,0.757767930949464
1982,"Q015-avg",7.56,0.894736842105263,0.811504184179196
1969,"Q015-avg",7.64933333333333,0.907894736842105,0.869124987936512
1997,"Q015-avg",7.70133333333333,0.921052631578947,0.931760011633068
1968,"Q015-avg",7.70333333333333,0.934210526315789,1.00110802717178
1999,"Q015-avg",7.96666666666667,0.947368421052632,1.07991829952208
1976,"Q015-avg",8.022,0.960526315789474,1.17313859404726
1964,"Q015-avg",8.03333333333333,0.973684210526316,1.29132031873981
1971,"Q015-avg",8.36133333333333,0.986842105263158,1.4657368903269
