"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Dec",38.2,38.2,0,38.2,0,"P90"
"Feb",34,34,0,34,0,"P90"
"Jan",33.1,33.1,0,33.1,0,"P90"
"Jul",6.18,6.18,0,6.18,0,"P90"
"Jun",7.28,7.28,0,7.28,0,"P90"
"Mar",28.3,28.3,0,28.3,0,"P90"
"May",13.8,13.8,0,13.8,0,"P90"
"Nov",21.8,21.8,0,21.8,0,"P90"
"Oct",5.72,5.72,0,5.72,0,"P90"
"Sep",3.11,3.11,0,3.11,0,"P90"
"Apr",23.345,23.345,-1.06581410364015e-14,23.345,4.56549198389441e-16,"P95"
"Aug",3.51,3.51,0,3.51,0,"P95"
"Dec",28.5,28.5,0,28.5,0,"P95"
"Feb",27.2,27.2,0,27.2,0,"P95"
"Jan",26.9,26.9,0,26.9,0,"P95"
"Jul",5.3,5.3,0,5.3,0,"P95"
"Jun",6.74,6.74,0,6.74,0,"P95"
"Mar",24.02,24.02,-1.06581410364015e-14,24.02,4.43719443647023e-16,"P95"
"May",11,11,0,11,0,"P95"
"Nov",13.445,13.445,-1.06581410364015e-14,13.445,7.9272153487553e-16,"P95"
"Oct",4.27,4.27,-5.32907051820075e-15,4.27,1.24802588248261e-15,"P95"
"Sep",2.15,2.15,0,2.15,0,"P95"
"Apr",13.747,13.747,-5.32907051820075e-15,13.747,3.87653343871445e-16,"P99"
"Aug",1.772,1.772,-8.88178419700125e-16,1.772,5.01229356489912e-16,"P99"
"Dec",21.7,21.7,0,21.7,0,"P99"
"Feb",17.4,17.4,0,17.4,0,"P99"
"Jan",22,22,0,22,0,"P99"
"Jul",4.4444,4.4444,-8.88178419700125e-16,4.4444,1.99842142853957e-16,"P99"
"Jun",5.5849,5.5849,0,5.5849,0,"P99"
"Mar",15.648,15.648,-3.5527136788005e-15,15.648,2.27039473338478e-16,"P99"
"May",8.2316,8.2316,-1.77635683940025e-15,8.2316,2.15797273847156e-16,"P99"
"Nov",6.6647,6.6647,-8.88178419700125e-16,6.6647,1.33266076447571e-16,"P99"
"Oct",2.6972,2.6972,-4.44089209850063e-16,2.6972,1.64648231443743e-16,"P99"
"Sep",1.00521,1.00521,-6.66133814775094e-16,1.00521,6.62681245486111e-16,"P99"
