"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1990,6.64999999999997,6.65,-2.93098878501041e-14,6.64999999999998,4.4075019323465e-15,"annual_min_03day_sw"
1991,5.16666666666664,5.16666666666667,-2.66453525910038e-14,5.16666666666665,5.15716501761364e-15,"annual_min_03day_sw"
1992,5.49999999999997,5.5,-3.01980662698043e-14,5.49999999999998,5.49055750360079e-15,"annual_min_03day_sw"
1993,4.29999999999997,4.3,-3.01980662698043e-14,4.29999999999998,7.02280610925683e-15,"annual_min_03day_sw"
1994,5.86666666666663,5.86666666666667,-3.73034936274053e-14,5.86666666666665,6.35855005012592e-15,"annual_min_03day_sw"
1995,5.21666666666663,5.21666666666667,-3.64153152077051e-14,5.21666666666665,6.98057160531091e-15,"annual_min_03day_sw"
1996,6.26666666666664,6.26666666666667,-2.57571741713036e-14,6.26666666666665,4.11018736776123e-15,"annual_min_03day_sw"
1997,4.6333333333333,4.63333333333333,-3.28626015289046e-14,4.63333333333332,7.09264781199383e-15,"annual_min_03day_sw"
1998,5.39999999999997,5.4,-3.10862446895044e-14,5.39999999999999,5.75671197953786e-15,"annual_min_03day_sw"
1999,6.46666666666663,6.46666666666667,-3.5527136788005e-14,6.46666666666665,5.49388713216574e-15,"annual_min_03day_sw"
2000,6.26999999999997,6.27,-2.93098878501041e-14,6.26999999999999,4.67462326157962e-15,"annual_min_03day_sw"
2001,6.36666666666664,6.36666666666667,-2.75335310107039e-14,6.36666666666665,4.3246383786446e-15,"annual_min_03day_sw"
2002,5.84999999999996,5.85,-3.90798504668055e-14,5.84999999999998,6.68031631911208e-15,"annual_min_03day_sw"
2003,5.3333333333333,5.33333333333333,-3.28626015289046e-14,5.33333333333332,6.16173778666964e-15,"annual_min_03day_sw"
2004,4.54666666666662,4.54666666666667,-4.61852778244065e-14,4.54666666666664,1.01580523074208e-14,"annual_min_03day_sw"
2005,5.73333333333329,5.73333333333333,-4.35207425653061e-14,5.73333333333331,7.59082719162319e-15,"annual_min_03day_sw"
2006,4.31666666666662,4.31666666666667,-4.61852778244065e-14,4.31666666666664,1.06992921600942e-14,"annual_min_03day_sw"
2007,5.20333333333329,5.20333333333333,-4.35207425653061e-14,5.20333333333331,8.36401202408193e-15,"annual_min_03day_sw"
2008,4.83333333333329,4.83333333333333,-4.2632564145606e-14,4.83333333333331,8.82053051288404e-15,"annual_min_03day_sw"
2009,4.36666666666662,4.36666666666667,-4.61852778244065e-14,4.36666666666664,1.05767811811619e-14,"annual_min_03day_sw"
2010,3.29999999999995,3.3,-5.01820807130571e-14,3.29999999999997,1.52066911251689e-14,"annual_min_03day_sw"
2011,5.91666666666662,5.91666666666667,-4.70734562441066e-14,5.91666666666664,7.95607711168003e-15,"annual_min_03day_sw"
2012,7.42999999999995,7.43,-4.9737991503207e-14,7.42999999999997,6.69421150783408e-15,"annual_min_03day_sw"
2013,5.54333333333329,5.54333333333333,-4.2632564145606e-14,5.54333333333331,7.69078126499209e-15,"annual_min_03day_sw"
2014,5.21666666666662,5.21666666666667,-4.70734562441066e-14,5.21666666666664,9.0236657336946e-15,"annual_min_03day_sw"
1964,84,84,0,84,0,"annual_mindoy_03day_sw"
1965,89,89,0,89,0,"annual_mindoy_03day_sw"
1966,64,64,0,64,0,"annual_mindoy_03day_sw"
1967,73,73,0,73,0,"annual_mindoy_03day_sw"
1968,366,366,0,366,0,"annual_mindoy_03day_sw"
1969,23,23,0,23,0,"annual_mindoy_03day_sw"
1970,336,336,0,336,0,"annual_mindoy_03day_sw"
1971,86,86,0,86,0,"annual_mindoy_03day_sw"
1972,345,345,0,345,0,"annual_mindoy_03day_sw"
1973,40,40,0,40,0,"annual_mindoy_03day_sw"
1974,14,14,0,14,0,"annual_mindoy_03day_sw"
1975,57,57,0,57,0,"annual_mindoy_03day_sw"
1976,65,65,0,65,0,"annual_mindoy_03day_sw"
1977,58,58,0,58,0,"annual_mindoy_03day_sw"
1978,65,65,0,65,0,"annual_mindoy_03day_sw"
1979,54,54,0,54,0,"annual_mindoy_03day_sw"
1980,67,67,0,67,0,"annual_mindoy_03day_sw"
1981,45,45,0,45,0,"annual_mindoy_03day_sw"
1982,40,40,0,40,0,"annual_mindoy_03day_sw"
1983,37,37,0,37,0,"annual_mindoy_03day_sw"
1984,357,357,0,357,0,"annual_mindoy_03day_sw"
1985,34,34,0,34,0,"annual_mindoy_03day_sw"
1986,46,46,0,46,0,"annual_mindoy_03day_sw"
1987,60,60,0,60,0,"annual_mindoy_03day_sw"
1988,34,34,0,34,0,"annual_mindoy_03day_sw"
1989,35,35,0,35,0,"annual_mindoy_03day_sw"
1990,51,51,0,51,0,"annual_mindoy_03day_sw"
1991,7,7,0,7,0,"annual_mindoy_03day_sw"
1992,23,23,0,23,0,"annual_mindoy_03day_sw"
1993,48,48,0,48,0,"annual_mindoy_03day_sw"
1994,40,40,0,40,0,"annual_mindoy_03day_sw"
1995,67,67,0,67,0,"annual_mindoy_03day_sw"
1996,32,32,0,32,0,"annual_mindoy_03day_sw"
1997,27,27,0,27,0,"annual_mindoy_03day_sw"
1998,13,13,0,13,0,"annual_mindoy_03day_sw"
1999,72,72,0,72,0,"annual_mindoy_03day_sw"
2000,349,349,0,349,0,"annual_mindoy_03day_sw"
2001,40,40,0,40,0,"annual_mindoy_03day_sw"
2002,70,70,0,70,0,"annual_mindoy_03day_sw"
2003,70,70,0,70,0,"annual_mindoy_03day_sw"
2004,38,39,-1,38.5,0.025974025974026,"annual_mindoy_03day_sw"
2005,13,13,0,13,0,"annual_mindoy_03day_sw"
2006,49,49,0,49,0,"annual_mindoy_03day_sw"
2007,14,14,0,14,0,"annual_mindoy_03day_sw"
2008,27,27,0,27,0,"annual_mindoy_03day_sw"
2009,59,59,0,59,0,"annual_mindoy_03day_sw"
2010,8,8,0,8,0,"annual_mindoy_03day_sw"
2011,57,57,0,57,0,"annual_mindoy_03day_sw"
2012,48,48,0,48,0,"annual_mindoy_03day_sw"
2013,341,341,0,341,0,"annual_mindoy_03day_sw"
2014,36,36,0,36,0,"annual_mindoy_03day_sw"
1964,5.07571428571429,5.07571428571429,4.44089209850063e-15,5.07571428571429,8.74929487461423e-16,"annual_min_07day_sw"
1965,7.54,7.54,0,7.54,0,"annual_min_07day_sw"
1966,5.86428571428571,5.86428571428571,-3.5527136788005e-15,5.86428571428571,6.05822064594483e-16,"annual_min_07day_sw"
1967,7.20714285714285,7.20714285714286,-6.21724893790088e-15,7.20714285714285,8.6265099237475e-16,"annual_min_07day_sw"
1968,8.6,8.6,0,8.6,0,"annual_min_07day_sw"
1969,4.87857142857142,4.87857142857143,-7.99360577730113e-15,4.87857142857142,1.63851362931502e-15,"annual_min_07day_sw"
1970,6.6342857142857,6.63428571428571,-1.4210854715202e-14,6.63428571428571,2.1420323644792e-15,"annual_min_07day_sw"
1971,7.14857142857142,7.14857142857143,-7.99360577730113e-15,7.14857142857142,1.11821024062965e-15,"annual_min_07day_sw"
1972,6.45285714285713,6.45285714285714,-1.24344978758018e-14,6.45285714285714,1.92697553975232e-15,"annual_min_07day_sw"
1973,4.47857142857142,4.47857142857143,-8.88178419700125e-15,4.47857142857142,1.98317350491256e-15,"annual_min_07day_sw"
