"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1984,0.692857142857143,0.692857142857143,0,0.692857142857143,0,"annual_min_07day_sw"
1985,0.438857142857143,0.438857142857143,1.11022302462516e-16,0.438857142857143,2.52980506913284e-16,"annual_min_07day_sw"
1986,0.437857142857143,0.437857142857143,1.66533453693773e-16,0.437857142857143,3.80337414635045e-16,"annual_min_07day_sw"
1987,0.448857142857143,0.448857142857143,1.66533453693773e-16,0.448857142857143,3.71016605937751e-16,"annual_min_07day_sw"
1988,0.237142857142857,0.237142857142857,-1.38777878078145e-16,0.237142857142857,5.85207919606634e-16,"annual_min_07day_sw"
1989,0.636714285714286,0.636714285714286,3.33066907387547e-16,0.636714285714286,5.2310261425013e-16,"annual_min_07day_sw"
1990,0.768857142857143,0.768857142857143,1.11022302462516e-16,0.768857142857143,1.44399129921518e-16,"annual_min_07day_sw"
1991,0.717857142857143,0.717857142857143,1.11022302462516e-16,0.717857142857143,1.54657933778629e-16,"annual_min_07day_sw"
1992,0.471,0.471,0,0.471,0,"annual_min_07day_sw"
1993,0.455714285714286,0.455714285714286,3.33066907387547e-16,0.455714285714286,7.30867821853551e-16,"annual_min_07day_sw"
1994,0.258571428571429,0.258571428571429,4.44089209850063e-16,0.258571428571429,1.71747208229306e-15,"annual_min_07day_sw"
1995,0.537285714285714,0.537285714285714,-3.33066907387547e-16,0.537285714285714,6.19906501386022e-16,"annual_min_07day_sw"
1996,0.725285714285714,0.725285714285714,-3.33066907387547e-16,0.725285714285714,4.59221656827424e-16,"annual_min_07day_sw"
1997,0.705714285714286,0.705714285714286,2.22044604925031e-16,0.705714285714286,3.14638104144781e-16,"annual_min_07day_sw"
1998,0.426142857142857,0.426142857142857,-1.66533453693773e-16,0.426142857142857,3.90792549733964e-16,"annual_min_07day_sw"
1999,1.25571428571429,1.25571428571429,4.44089209850063e-15,1.25571428571429,3.5365466085898e-15,"annual_min_07day_sw"
2000,0.8,0.8,1.11022302462516e-16,0.8,1.38777878078145e-16,"annual_min_07day_sw"
2001,0.449428571428571,0.449428571428571,-4.44089209850063e-16,0.449428571428571,9.88119665909231e-16,"annual_min_07day_sw"
2002,0.593142857142857,0.593142857142857,-2.22044604925031e-16,0.593142857142857,3.74352657628906e-16,"annual_min_07day_sw"
2003,0.370714285714286,0.370714285714286,2.77555756156289e-16,0.370714285714286,7.48705315257812e-16,"annual_min_07day_sw"
2004,0.495428571428571,0.495428571428571,-3.88578058618805e-16,0.495428571428571,7.84327107938764e-16,"annual_min_07day_sw"
2005,0.432714285714286,0.432714285714286,3.33066907387547e-16,0.432714285714286,7.69715533744744e-16,"annual_min_07day_sw"
2006,0.332,0.332,5.55111512312578e-17,0.332,1.67202262744752e-16,"annual_min_07day_sw"
2007,0.625,0.625,0,0.625,0,"annual_min_07day_sw"
2008,0.714285714285714,0.714285714285714,-3.33066907387547e-16,0.714285714285714,4.66293670342566e-16,"annual_min_07day_sw"
2009,0.416285714285714,0.416285714285714,-3.33066907387547e-16,0.416285714285714,8.00092090498569e-16,"annual_min_07day_sw"
2010,0.900285714285714,0.900285714285714,-3.33066907387547e-16,0.900285714285714,3.69956894908415e-16,"annual_min_07day_sw"
2011,0.842142857142857,0.842142857142857,-1.11022302462516e-16,0.842142857142857,1.31833098768042e-16,"annual_min_07day_sw"
2012,0.471428571428571,0.471428571428571,-4.9960036108132e-16,0.471428571428571,1.05975834168765e-15,"annual_min_07day_sw"
2013,0.652714285714286,0.652714285714286,2.22044604925031e-16,0.652714285714286,3.40186525383064e-16,"annual_min_07day_sw"
2014,0.369,0.369,5.55111512312578e-17,0.369,1.50436724203951e-16,"annual_min_07day_sw"
1968,258,258,0,258,0,"annual_mindoy_07day_sw"
1969,259,259,0,259,0,"annual_mindoy_07day_sw"
1970,19,19,0,19,0,"annual_mindoy_07day_sw"
1971,365,365,0,365,0,"annual_mindoy_07day_sw"
1972,3,3,0,3,0,"annual_mindoy_07day_sw"
1973,262,262,0,262,0,"annual_mindoy_07day_sw"
1974,362,362,0,362,0,"annual_mindoy_07day_sw"
1975,42,42,0,42,0,"annual_mindoy_07day_sw"
1976,295,295,0,295,0,"annual_mindoy_07day_sw"
1977,236,236,0,236,0,"annual_mindoy_07day_sw"
1978,365,365,0,365,0,"annual_mindoy_07day_sw"
1979,270,270,0,270,0,"annual_mindoy_07day_sw"
1980,256,256,0,256,0,"annual_mindoy_07day_sw"
1981,264,264,0,264,0,"annual_mindoy_07day_sw"
1982,268,268,0,268,0,"annual_mindoy_07day_sw"
1983,292,292,0,292,0,"annual_mindoy_07day_sw"
1984,366,366,0,366,0,"annual_mindoy_07day_sw"
1985,247,247,0,247,0,"annual_mindoy_07day_sw"
1986,52,52,0,52,0,"annual_mindoy_07day_sw"
1987,288,288,0,288,0,"annual_mindoy_07day_sw"
1988,10,10,0,10,0,"annual_mindoy_07day_sw"
1989,282,282,0,282,0,"annual_mindoy_07day_sw"
1990,274,274,0,274,0,"annual_mindoy_07day_sw"
1991,288,288,0,288,0,"annual_mindoy_07day_sw"
1992,247,247,0,247,0,"annual_mindoy_07day_sw"
1993,332,332,0,332,0,"annual_mindoy_07day_sw"
1994,273,273,0,273,0,"annual_mindoy_07day_sw"
1995,272,272,0,272,0,"annual_mindoy_07day_sw"
1996,243,243,0,243,0,"annual_mindoy_07day_sw"
1997,29,29,0,29,0,"annual_mindoy_07day_sw"
1998,261,261,0,261,0,"annual_mindoy_07day_sw"
1999,267,267,0,267,0,"annual_mindoy_07day_sw"
2000,352,352,0,352,0,"annual_mindoy_07day_sw"
2001,269,269,0,269,0,"annual_mindoy_07day_sw"
2002,306,306,0,306,0,"annual_mindoy_07day_sw"
2003,253,253,0,253,0,"annual_mindoy_07day_sw"
2004,234,234,0,234,0,"annual_mindoy_07day_sw"
2005,229,229,0,229,0,"annual_mindoy_07day_sw"
2006,255,255,0,255,0,"annual_mindoy_07day_sw"
2007,262,262,0,262,0,"annual_mindoy_07day_sw"
2008,28,28,0,28,0,"annual_mindoy_07day_sw"
2009,245,245,0,245,0,"annual_mindoy_07day_sw"
2010,239,239,0,239,0,"annual_mindoy_07day_sw"
2011,261,261,0,261,0,"annual_mindoy_07day_sw"
2012,287,287,0,287,0,"annual_mindoy_07day_sw"
2013,259,259,0,259,0,"annual_mindoy_07day_sw"
2014,330,330,0,330,0,"annual_mindoy_07day_sw"
1968,1.30336666666667,1.30336666666667,3.10862446895044e-15,1.30336666666667,2.38507286433884e-15,"annual_min_30day_sw"
1969,0.757966666666667,0.757966666666666,5.55111512312578e-16,0.757966666666667,7.32369293697056e-16,"annual_min_30day_sw"
1970,0.444133333333333,0.444133333333333,-2.22044604925031e-16,0.444133333333333,4.99950326309737e-16,"annual_min_30day_sw"
1971,0.414833333333333,0.414833333333333,-3.33066907387547e-16,0.414833333333333,8.02893308286574e-16,"annual_min_30day_sw"
1972,0.312933333333333,0.312933333333333,-1.66533453693773e-16,0.312933333333333,5.32169110653303e-16,"annual_min_30day_sw"
1973,0.6087,0.6087,0,0.6087,0,"annual_min_30day_sw"
